有效频道,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
欧洲华文1套,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
欧洲华文2套,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
欧洲华文6套,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
香港文旅,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
澳门卫星,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
华丽翡翠台,http://v2h.jdshipin.com/jade/jade.stream/chunklist.m3u8
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB亚洲武侠,https://edge6a.v2h-cdn.com/asia_action/asia_action.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
环球电视台,http://live.cgtn.com/500/prog_index.m3u8
香港台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream1/streamPlaylist.m3u8?$720P
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8?$1080P
RTHK32,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8?$720P
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$1080P
RTHK33,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8?$720P
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8?$1080P
RTHK34,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8?$720P
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8?$1080P
澳门莲花,http://php.jdshipin.com:8880/amlh.php
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
明珠台,http://r.jdshipin.com/GeWKr?id=mzt720
澳门莲花,http://epg.112114.xyz/lotus

中央频道,#genre#
CCTV-1,http://118.112.91.214:55555/udp/239.93.0.148:5140
CCTV-1,http://118.112.91.214:55555/udp/239.93.0.184:5140
CCTV-1,http://118.112.91.214:55555/udp/239.93.1.68:5140
CCTV-1,http://118.112.91.214:55555/udp/239.93.1.87:5140
CCTV-1,http://118.114.97.6:888/udp/239.93.0.148:5140
CCTV-1,http://118.114.97.6:888/udp/239.93.0.184:5140
CCTV-1,http://118.114.97.6:888/udp/239.93.1.68:5140
CCTV-1,http://118.114.97.6:888/udp/239.93.1.87:5140
CCTV-1,http://125.69.91.30:55555/udp/239.93.0.148:5140
CCTV-1,http://125.69.91.30:55555/udp/239.93.0.184:5140
CCTV-1,http://125.69.91.30:55555/udp/239.93.1.68:5140
CCTV-1,http://125.69.91.30:55555/udp/239.93.1.87:5140
CCTV-2,http://118.112.91.214:55555/udp/239.93.0.149:5140
CCTV-2,http://118.112.91.214:55555/udp/239.93.1.23:6000
CCTV-2,http://118.112.91.214:55555/udp/239.93.1.69:5140
CCTV-2,http://118.114.97.6:888/udp/239.93.0.149:5140
CCTV-2,http://118.114.97.6:888/udp/239.93.1.23:6000
CCTV-2,http://118.114.97.6:888/udp/239.93.1.69:5140
CCTV-2,http://125.69.91.30:55555/udp/239.93.0.149:5140
CCTV-2,http://125.69.91.30:55555/udp/239.93.1.23:6000
CCTV-2,http://125.69.91.30:55555/udp/239.93.1.69:5140
CCTV-3,http://118.112.91.214:55555/udp/239.93.0.150:5140
CCTV-3,http://118.112.91.214:55555/udp/239.93.1.11:2223
CCTV-3,http://118.112.91.214:55555/udp/239.93.1.70:5140
CCTV-3,http://118.114.97.6:888/udp/239.93.0.150:5140
CCTV-3,http://118.114.97.6:888/udp/239.93.1.11:2223
CCTV-3,http://118.114.97.6:888/udp/239.93.1.70:5140
CCTV-3,http://125.69.91.30:55555/udp/239.93.0.150:5140
CCTV-3,http://125.69.91.30:55555/udp/239.93.1.11:2223
CCTV-3,http://125.69.91.30:55555/udp/239.93.1.70:5140
CCTV-4,http://118.112.91.214:55555/udp/239.93.0.212:5140
CCTV-4,http://118.112.91.214:55555/udp/239.93.1.105:5140
CCTV-4,http://118.114.97.6:888/udp/239.93.0.212:5140
CCTV-4,http://118.114.97.6:888/udp/239.93.1.105:5140
CCTV-4,http://125.69.91.30:55555/udp/239.93.0.212:5140
CCTV-4,http://125.69.91.30:55555/udp/239.93.1.105:5140
CCTV-5,http://118.112.91.214:55555/udp/239.93.0.158:5140
CCTV-5,http://118.112.91.214:55555/udp/239.93.1.71:5140
CCTV-5,http://118.112.91.214:55555/udp/239.93.42.37:5140
CCTV-5,http://118.114.97.6:888/udp/239.93.0.158:5140
CCTV-5,http://118.114.97.6:888/udp/239.93.1.71:5140
CCTV-5,http://118.114.97.6:888/udp/239.93.42.37:5140
CCTV-5,http://125.69.91.30:55555/udp/239.93.0.158:5140
CCTV-5,http://125.69.91.30:55555/udp/239.93.1.71:5140
CCTV-5,http://125.69.91.30:55555/udp/239.93.42.37:5140
CCTV-6,http://118.112.91.214:55555/udp/239.93.0.64:5140
CCTV-6,http://118.112.91.214:55555/udp/239.93.1.13:2226
CCTV-6,http://118.112.91.214:55555/udp/239.93.1.72:5140
CCTV-6,http://118.114.97.6:888/udp/239.93.0.64:5140
CCTV-6,http://118.114.97.6:888/udp/239.93.1.13:2226
CCTV-6,http://118.114.97.6:888/udp/239.93.1.72:5140
CCTV-6,http://125.69.91.30:55555/udp/239.93.0.64:5140
CCTV-6,http://125.69.91.30:55555/udp/239.93.1.13:2226
CCTV-6,http://125.69.91.30:55555/udp/239.93.1.72:5140
